city_id,city,country,date,latitude,longitude,temperature,max temperature,humidity,cloudiness,wind speed
0,Rikitea,PF,1609612366,-23.12,-134.97,77.85,77.85,69,0,10.4
1,Chui,UY,1609612599,-33.7,-53.46,73.29,73.29,49,0,11.34
2,College,US,1609612602,64.86,-147.8,-12.69,-11.99,69,75,3.13
3,Severo-Kuril'sk,RU,1609612603,50.68,156.12,25.57,25.57,94,100,30.89
4,Port Elizabeth,ZA,1609612604,-33.92,25.57,69.8,69.8,77,0,14.99
5,Kodinsk,RU,1609612520,58.69,99.18,-17.39,-17.39,86,100,4.25
6,Carnarvon,AU,1609612608,-24.87,113.63,77.0,77.0,88,0,16.11
7,Isangel,VU,1609612609,-19.55,169.27,79.93,79.93,82,100,14.09
8,Craig,US,1609612610,40.52,-107.55,9.55,14.0,84,90,6.93
9,Upernavik,GL,1609612611,72.79,-56.15,9.88,9.88,94,100,11.95
10,Katherine,AU,1609612612,-14.47,132.27,82.4,82.4,74,75,5.82
11,Albany,US,1609612614,42.6,-73.97,39.79,41.0,72,82,3.0
12,Kavaratti,IN,1609612515,10.57,72.64,81.3,81.3,65,0,5.95
13,Hilo,US,1609612466,19.73,-155.09,66.97,69.8,83,90,6.93
14,Bethel,US,1609612617,41.37,-73.41,48.07,48.99,61,20,16.11
15,Mataura,NZ,1609612618,-46.19,168.86,53.01,53.01,97,100,5.99
16,Provideniya,RU,1609612620,64.38,-173.3,7.59,7.59,91,96,20.11
17,Cherskiy,RU,1609612419,68.75,161.3,-27.89,-27.89,84,100,5.77
18,Busselton,AU,1609612623,-33.65,115.33,59.0,59.0,67,56,1.99
19,Adrar,MR,1609612624,20.5,-10.07,65.53,65.53,26,0,7.23
20,Neyshabur,IR,1609612626,36.21,58.8,35.92,35.92,56,0,1.32
21,Hong Kong,HK,1609612539,22.29,114.16,55.4,57.99,76,19,1.99
22,Kapaa,US,1609612362,22.08,-159.32,74.52,75.2,73,75,18.34
23,Sitka,US,1609612568,57.05,-135.33,42.8,42.8,60,90,11.41
24,Tura,IN,1609612630,25.52,90.22,57.58,57.58,79,23,3.02
25,Avarua,CK,1609612632,-21.21,-159.78,80.6,80.6,83,100,17.22
26,Cidreira,BR,1609612591,-30.18,-50.21,75.9,75.9,62,0,17.36
27,Faanui,PF,1609612634,-16.48,-151.75,79.84,79.84,77,1,17.07
28,Iquique,CL,1609612635,-20.22,-70.14,77.0,77.0,65,75,9.17
29,Egvekinot,RU,1609612636,66.32,-179.17,-10.55,-10.55,86,100,21.14
30,Arman',RU,1609612637,59.7,150.17,-4.36,-4.36,80,100,13.38
31,Lovozero,RU,1609612639,68.0,35.01,20.41,20.41,97,100,4.76
32,Bandarbeyla,SO,1609612640,9.49,50.81,73.6,73.6,76,7,17.81
33,Miguel Pereira,BR,1609612589,-22.45,-43.47,74.34,78.8,83,75,2.24
34,Saint-Philippe,RE,1609612642,-21.36,55.77,72.59,77.0,73,0,21.92
35,Vila Franca do Campo,PT,1609612643,37.72,-25.43,59.0,59.0,82,75,23.04
36,Ushuaia,AR,1609612646,-54.8,-68.3,62.6,62.6,20,40,31.09
37,Byron Bay,AU,1609612491,-28.65,153.62,67.93,69.8,88,38,1.74
38,Honningsvåg,NO,1609612648,70.98,25.97,28.98,28.98,93,84,10.89
39,Dunedin,NZ,1609612649,-45.87,170.5,55.6,55.6,94,100,5.28
40,Vaini,TO,1609612650,-21.2,-175.2,77.0,77.0,94,75,4.7
41,East London,ZA,1609612425,-33.02,27.91,69.8,69.8,73,0,14.99
42,Ostrovnoy,RU,1609612654,68.05,39.51,21.43,21.43,95,100,11.21
43,Karakol,KG,1609612656,42.49,78.39,17.69,17.69,67,1,6.51
44,Nanortalik,GL,1609612658,60.14,-45.24,29.7,29.7,97,100,10.29
45,Hobart,AU,1609612508,-42.88,147.33,54.63,55.99,87,100,0.2
46,Lakes Entrance,AU,1609612660,-37.88,147.98,64.0,64.0,92,100,1.01
47,Lavrentiya,RU,1609612661,65.58,-171.0,-3.19,-3.19,88,16,14.27
48,Puerto Ayora,EC,1609612662,-0.74,-90.35,79.63,82.4,65,0,9.17
